id_police,nom_assure,produit,date_souscription,capital_assure,prime_annuelle,region,beneficiaire,statut
POL-AD-0001,Clarisse Fofana,Épargne,2021-09-05,19986674.8,359613.95,Bouaké,Souleymane Cissé,Actif
POL-AD-0002,Bintou Yapi,Prévoyance,2019-01-14,14265348.08,206692.75,Yamoussoukro,Kouadio Houphouët,Actif
POL-AD-0003,Koffi Ehoué,Épargne,2025-01-19,31533794.62,416233.75,San-Pédro,Ousmane Ouattara,Suspendu
POL-AD-0004,Kouadio Silué,Prévoyance,2024-03-03,14526534.72,236168.46,Korhogo,Adjoua Assamoi,Actif
POL-AD-0005,Ahou Coulibaly,Retraite,2016-06-01,10491775.7,127054.19,Daloa,Amoin Sangaré,Suspendu
POL-AD-0006,Ahou Coulibaly,Épargne,2022-04-21,13369129.81,362433.06,Abidjan,Ibrahim Houphouët,Résilié
POL-AD-0007,Hervé Quenum,Retraite,2017-10-07,9168693.23,124522.77,Bouaké,Séry Meledje,Suspendu
POL-AD-0008,Ahou Meledje,Prévoyance,2016-03-21,6840578.51,112122.06,Yamoussoukro,Kouassi Lorougnon,Actif
POL-AD-0009,Ousmane Tanoh,Épargne,2021-01-04,31828196.24,921568.84,San-Pédro,Nadège Bamba,Actif
POL-AD-0010,Mariam Yapi,Prévoyance,2018-06-16,11503640.98,443540.24,Korhogo,Hervé Kacou,Résilié
POL-AD-0011,Yao Piebeng,Retraite,2025-06-24,31566731.61,1134710.67,Daloa,Kouadio Gnamien,Actif
POL-AD-0012,Mariam Yeo,Épargne,2017-10-16,,457291.17,Abidjan,Awa Yeo,Actif
POL-AD-0013,Nadège Zoro,Retraite,2024-12-28,29248900.34,848678.63,Bouaké,N'Guessan Nanan,Suspendu
POL-AD-0014,Solange Piebeng,Prévoyance,2020-01-31,15690527.87,650258.1,Yamoussoukro,Konan Nanan,Actif
POL-AD-0015,Amenan Gnamien,Retraite,2018-09-26,21242514.01,842772.41,San-Pédro,Ousmane Quenum,Actif
POL-AD-0016,Ahou Lorougnon,Épargne,2018-06-03,7004518.13,109952.04,Korhogo,Awa Bamba,Actif
POL-AD-0017,Fatou Meledje,Épargne,2025-11-02,26953380.32,964613.52,Daloa,Nadège Rasseka,Actif
POL-AD-0018,Nadège Nanan,Épargne,2018-04-29,13105153.54,523078.83,Abidjan,Aya Coulibaly,Suspendu
POL-AD-0019,Clarisse Kacou,Épargne,2016-11-24,12326896.57,246155.54,Bouaké,Patrice Ouattara,Suspendu
