id_police,nom_assure,branche,region,date_effet,prime_annuelle,statut
POL-OM-0001,Kouame Kacou,RC,Abidjan,2024-01-17,855752.3,Résilié
POL-OM-0002,Souleymane Kacou,Auto,Yamoussoukro,2023-09-02,657936.69,Suspendu
POL-OM-0003,Ahou Ouattara,Auto,Abidjan,2020-04-12,750573.76,Actif
POL-OM-0004,Kouassi Piebeng,Habitation,Yamoussoukro,2025-01-07,596883.51,Résilié
POL-OM-0005,Souleymane Cissé,Habitation,Bouaké,2019-10-06,419026.15,Suspendu
POL-OM-0006,Koffi Lorougnon,Auto,Yamoussoukro,2019-09-06,801606.04,Actif
POL-OM-0007,Adjoua Bamba,Auto,Yamoussoukro,2024-10-23,860673.6,Actif
POL-OM-0008,Nadège Zoro,Habitation,Korhogo,2019-06-22,637035.5,Actif
POL-OM-0009,Koffi Tanoh,Habitation,San-Pédro,2021-10-29,317053.02,Résilié
POL-OM-0010,Bintou Sangaré,Auto,Daloa,2025-03-26,849594.18,Suspendu
POL-OM-0011,Konan Coulibaly,Habitation,Korhogo,2023-05-18,191052.4,Résilié
POL-OM-0012,Sylvain Zadi,Auto,Yamoussoukro,2025-11-10,297372.6,Suspendu
POL-OM-0013,Patrice Zoro,Auto,Korhogo,2025-02-13,522731.2,Suspendu
POL-OM-0014,Sylvain Fofana,Auto, Bouaké,2020-10-01,474444.13,Résilié
POL-OM-0015,Clarisse Rasseka,Habitation,Yamoussoukro,2022-06-23,523262.99,Actif
POL-OM-0016,Adjoua Koné,Auto,Yamoussoukro,2024-04-29,175291.93,Actif
POL-OM-0017,Sylvain Bakayoko,Auto,Abidjan,2022-04-08,250158.13,Actif
POL-OM-0018,Yao Bakayoko,Auto,Daloa,2019-08-25,518025.46,Actif
POL-OM-0019,Kouassi Yapi,Habitation,Bouaké,2025-12-04,240849.38,Actif
POL-OM-0020,Patrice Silué,RC,Bouaké,2020-06-03,414576.98,Actif
POL-OM-0021,Amoin Bakayoko,Habitation,Abidjan,2020-07-10,684942.63,Actif
POL-OM-0022,Sylvain Silué,Auto,Bouaké,2022-09-30,102722.91,Actif
POL-OM-0023,Brou Yeo,RC,Daloa,2019-05-20,220373.81,Actif
POL-OM-0024,Ahou Ehoué,Auto,Bouaké,2024-01-18,387055.26,Actif
POL-OM-0025,Fatou Bakayoko,Habitation,Abidjan,2023-12-06,354466.74,Actif
POL-OM-0026,Kouassi Ouattara,Habitation,Bouaké,2019-02-28,85418.45,Actif
POL-OM-0027,Kouassi Meledje,RC,Daloa,2025-04-08,146738.94,Actif
POL-OM-0028,Koffi Doumbia,Habitation, Bouaké,2024-10-08,877785.56,Actif
POL-OM-0029,Amoin Sangaré,Auto,Yamoussoukro,2020-12-26,357496.56,Actif
POL-OM-0030,Hervé Diarra,Auto,Abidjan,2020-09-23,906910.2,Actif
POL-OM-0031,Kouassi Doumbia,Habitation,Korhogo,2019-01-19,228042.45,Actif
POL-OM-0032,Koffi Coulibaly,RC,Abidjan,2021-12-16,425860.13,Actif
POL-OM-0033,Konan Rasseka,Habitation,Abidjan,2019-02-27,785679.11,Suspendu
POL-OM-0034,Ousmane Sangaré,Auto,Korhogo,2019-02-27,680852.15,Suspendu
POL-OM-0035,Ousmane Sangaré,Auto,Bouaké,2019-05-03,717309.91,Actif
POL-OM-0036,Adjoua Coulibaly,Auto,Daloa,2020-02-09,301098.06,Actif
POL-OM-0037,Séry Quenum,Habitation,Daloa,2025-11-14,419362.2,Actif
POL-OM-0038,Bintou Kacou,Auto,Yamoussoukro,2022-11-07,378642.49,Actif
POL-OM-0039,Patrice Coulibaly,Habitation,Korhogo,2023-04-25,600439.65,Actif
POL-OM-0040,Brou Doumbia,RC,Bouaké,2020-10-17,689765.81,Actif
POL-OM-0041,Amenan Adama,Auto,Korhogo,2020-06-29,390811.7,Suspendu
POL-OM-0042,Kouame Houphouët,Auto,DALOA,2019-01-11,720775.2,Actif
POL-OM-0043,Hervé Zoro,Habitation,Daloa,2019-01-18,840054.95,Actif
POL-OM-0044,Awa Zadi,Auto,Korhogo,2023-03-08,211413.9,Résilié
POL-OM-0045,Kouame Fofana,Auto,Yamoussoukro,2020-07-22,685967.35,Actif
POL-OM-0046,Mariam Zadi,Auto,Daloa,2022-03-12,527805.6,Suspendu
POL-OM-0047,Patrice Tanoh,Auto,Bouaké,2020-04-13,181726.98,Résilié
POL-OM-0048,Ibrahim Adama,Habitation,Korhogo,2021-12-21,862141.12,Suspendu
POL-OM-0049,Mariam Houphouët,Auto,San-Pédro,2025-03-19,497098.85,Actif
